Time,Azimuth,Zenith
0.00292,-4.581168083,88.10299589
0.00293,-4.687562105,88.05260359
0.00294,-4.79364682,88.00204184
0.00295,-4.899417429,87.95131295
0.00296,-5.004869148,87.90041926
0.00297,-5.109997214,87.84936313
0.00298,-5.21479688,87.79814689
0.00299,-5.319263419,87.74677289
0.003,-5.423392123,87.69524348
0.00301,-5.527178303,87.64356102
0.00302,-5.63061729,87.59172788
0.00303,-5.733704432,87.53974642
0.00304,-5.836435102,87.48761901
0.00305,-5.938804689,87.43534803
0.00306,-6.040808606,87.38293585
0.00307,-6.142442283,87.33038486
0.00308,-6.243701176,87.27769745
0.00309,-6.344580758,87.22487601
0.0031,-6.445076527,87.17192295
0.00311,-6.545184001,87.11884066
0.00312,-6.644898722,87.06563155
0.00313,-6.744216254,87.01229804
0.00314,-6.843132182,86.95884254
0.00315,-6.941642118,86.90526748
0.00316,-7.039741692,86.85157529
0.00317,-7.137426564,86.7977684
0.00318,-7.234692413,86.74384926
0.00319,-7.331534944,86.6898203
0.0032,-7.427949886,86.63568398
0.00321,-7.523932994,86.58144276
0.00322,-7.619480046,86.52709909
0.00323,-7.714586847,86.47265546
0.00324,-7.809249227,86.41811433
0.00325,-7.90346304,86.36347818
0.00326,-7.997224168,86.30874951
0.00327,-8.09052852,86.25393081
0.00328,-8.183372028,86.19902457
0.00329,-8.275750654,86.14403331
0.0033,-8.367660386,86.08895954
0.00331,-8.459097238,86.03380578
0.00332,-8.550057254,85.97857456
0.00333,-8.640536503,85.92326842
0.00334,-8.730531083,85.86788989
0.00335,-8.820037121,85.81244153
0.00336,-8.909050771,85.7569259
0.00337,-8.997568216,85.70134555
0.00338,-9.085585669,85.64570308
0.00339,-9.173099371,85.59000104
0.0034,-9.260105591,85.53424204
0.00341,-9.346600631,85.47842868
0.00342,-9.43258082,85.42256354
0.00343,-9.518042517,85.36664926
0.00344,-9.602982112,85.31068845
0.00345,-9.687396026,85.25468374
0.00346,-9.771280708,85.19863778
0.00347,-9.854632642,85.1425532
0.00348,-9.937448339,85.08643267
0.00349,-10.01972434,85.03027885
0.0035,-10.10145723,84.97409443
0.00351,-10.18264361,84.91788207
0.00352,-10.26328011,84.86164449
0.00353,-10.34336341,84.80538437
0.00354,-10.42289022,84.74910444
0.00355,-10.50185726,84.69280741
0.00356,-10.5802613,84.63649603
0.00357,-10.65809915,84.58017302
0.00358,-10.73536764,84.52384115
0.00359,-10.81206363,84.46750318
0.0036,-10.88818402,84.41116187
0.00361,-10.96372576,84.35482002
0.00362,-11.0386858,84.29848042
0.00363,-11.11306114,84.24214586
0.00364,-11.18684883,84.18581917
0.00365,-11.26004592,84.12950316
0.00366,-11.33264953,84.07320069
0.00367,-11.40465679,84.01691458
0.00368,-11.47606487,83.9606477
0.00369,-11.54687098,83.90440292
0.0037,-11.61707237,83.84818312
0.00371,-11.6866663,83.79199119
0.00372,-11.7556501,83.73583002
0.00373,-11.8240211,83.67970254
0.00374,-11.8917767,83.62361166
0.00375,-11.95891431,83.56756032
0.00376,-12.02543139,83.51155147
0.00377,-12.09132543,83.45558807
0.00378,-12.15659396,83.39967309
0.00379,-12.22123453,83.3438095
0.0038,-12.28524476,83.2880003
0.00381,-12.34862227,83.23224849
0.00382,-12.41136474,83.17655709
0.00383,-12.47346988,83.12092913
0.00384,-12.53493543,83.06536764
0.00385,-12.59575918,83.00987568
0.00386,-12.65593895,82.95445631
0.00387,-12.7154726,82.8991126
0.00388,-12.77435802,82.84384764
0.00389,-12.83259315,82.78866452
0.0039,-12.89017596,82.73356635
0.00391,-12.94710445,82.67855626
0.00392,-13.00337668,82.62363738
0.00393,-13.05899072,82.56881284
0.00394,-13.1139447,82.51408581
0.00395,-13.16823677,82.45945945
0.00396,-13.22186515,82.40493694
0.00397,-13.27482806,82.35052147
0.00398,-13.32712377,82.29621624
0.00399,-13.37875061,82.24202447
0.004,-13.42970693,82.18794937
0.00401,-13.47999111,82.13399419
0.00402,-13.5296016,82.08016217
0.00403,-13.57853684,82.02645657
0.00404,-13.62679537,81.97288065
0.00405,-13.67437571,81.9194377
0.00406,-13.72127646,81.86613101
0.00407,-13.76749624,81.81296388
